,Bal,Brick,Dist,Flat URL,Floor,Kitsp,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
2711,1.0,0,10.402490281833314,150567542,5,6.0,21.0,10.0,2711,0,5.0,4400000.0,1,1.0,32.0,1.0
2712,1.0,1,13.948495731346004,149775423,5,6.0,19.4,29.0,2712,0,9.0,4400000.0,1,1.0,33.0,1.0
2713,,0,11.233551653961982,150278439,1,6.0,21.4,14.0,2713,0,9.0,4400000.0,1,1.0,31.7,1.0
2714,1.0,0,13.53193389410331,143310483,9,7.0,20.9,10.0,2714,0,9.0,4450000.0,1,1.0,34.7,0.0
2715,1.0,1,10.195469450725366,149136079,3,5.4,20.1,,2715,0,5.0,4500000.0,1,,32.7,
2716,1.0,1,7.200642806081499,150618820,6,6.0,23.0,12.0,2716,0,9.0,6500000.0,2,,38.0,1.0
2717,1.0,0,11.768824085425807,150559527,17,9.0,33.0,8.0,2717,0,18.0,9400000.0,2,1.0,55.0,1.0
2718,2.0,0,13.312346833855974,149482204,4,13.9,34.0,21.0,2718,0,17.0,10500000.0,2,,63.0,1.0
2719,,0,12.427665933606768,151016778,1,,40.0,10.0,2719,0,9.0,2950000.0,9,1.0,45.0,1.0
2720,1.0,1,7.086259697243996,150692460,5,2.0,9.0,15.0,2720,0,5.0,3050000.0,1,1.0,13.0,1.0
2721,,1,12.20594594284722,148985302,3,1.0,9.0,5.0,2721,0,5.0,3300000.0,1,1.0,13.3,1.0
2722,,1,13.118359137153845,43369704,5,2.0,13.0,12.0,2722,0,6.0,3600000.0,1,,15.0,1.0
2723,0.0,1,11.597792661325641,24503572,1,,14.0,10.0,2723,0,3.0,3600000.0,1,0.0,16.0,0.0
2724,,1,13.118359137153845,47093572,1,2.0,14.4,20.0,2724,0,6.0,3600000.0,9,0.0,16.4,1.0
2725,,1,13.118359137153845,47666464,3,2.0,14.2,16.0,2725,0,6.0,3650000.0,9,0.0,16.2,1.0
2726,,1,13.118359137153845,150871186,2,,14.0,10.0,2726,0,5.0,3650000.0,9,1.0,16.4,1.0
2727,,1,9.126998521650847,149772232,5,4.0,17.0,15.0,2727,0,5.0,3800000.0,1,,24.5,1.0
2728,,1,10.787906450293638,148646744,5,4.5,19.0,15.0,2728,0,5.0,3950000.0,1,,27.0,1.0
2729,1.0,1,15.930763692259971,50164795,22,10.0,22.0,5.0,2729,1,25.0,3990000.0,1,,49.0,0.0
2730,,0,12.974863856421011,149006586,1,7.0,24.0,18.0,2730,0,14.0,4000000.0,2,,38.2,1.0
2731,,0,9.126998521650847,150444898,5,4.0,16.0,12.0,2731,0,5.0,4100000.0,1,,24.0,1.0
2732,,1,9.126998521650847,150445217,5,4.0,16.0,15.0,2732,0,5.0,4100000.0,1,,24.0,1.0
2733,,0,15.544831235645955,146147955,1,6.5,32.0,10.0,2733,0,2.0,4100000.0,2,,46.0,0.0
2734,,0,10.854626861471594,150339219,5,4.5,14.0,14.0,2734,0,5.0,4150000.0,1,,24.0,1.0
2735,1.0,0,13.473844585660192,149948858,2,9.0,18.0,10.0,2735,0,10.0,4200000.0,1,,36.0,0.0
2736,1.0,0,9.267435048474253,150961041,5,6.0,19.0,23.0,2736,0,5.0,4300000.0,1,1.0,31.0,1.0
2737,,1,10.030751573277437,150976210,1,5.7,17.0,10.0,2737,0,5.0,4300000.0,1,1.0,28.4,1.0
2738,,0,13.488062434512115,149948712,1,9.3,21.0,10.0,2738,0,12.0,4400000.0,1,1.0,40.0,0.0
2739,1.0,0,10.402490281833314,150567542,5,6.0,21.0,10.0,2739,0,5.0,4400000.0,1,1.0,32.0,1.0
2740,1.0,1,13.948495731346004,149775423,5,6.0,19.4,29.0,2740,0,9.0,4400000.0,1,1.0,33.0,1.0
2741,,0,11.233551653961982,150278439,1,6.0,21.4,14.0,2741,0,9.0,4400000.0,1,1.0,31.7,1.0
2742,1.0,0,13.53193389410331,143310483,9,7.0,20.9,10.0,2742,0,9.0,4450000.0,1,1.0,34.7,0.0
2743,1.0,1,10.195469450725366,149136079,3,5.4,20.1,,2743,0,5.0,4500000.0,1,,32.7,
2744,2.0,1,11.712410888230373,150639722,9,8.0,70.0,15.0,2744,0,9.0,18490000.0,5,0.0,106.0,1.0
2745,2.0,1,11.947841040623286,150534172,7,12.0,20.0,11.0,2745,0,12.0,7600000.0,1,1.0,42.0,1.0
2746,1.0,0,10.465222933878797,150460380,15,21.8,125.0,,2746,0,16.0,29800000.0,4,,228.0,
2747,,0,12.427665933606768,151016778,1,,40.0,10.0,2747,0,9.0,2950000.0,9,1.0,45.0,1.0
2748,1.0,1,7.086259697243996,150692460,5,2.0,9.0,15.0,2748,0,5.0,3050000.0,1,1.0,13.0,1.0
2749,,1,12.20594594284722,148985302,3,1.0,9.0,5.0,2749,0,5.0,3300000.0,1,1.0,13.3,1.0
2750,,1,13.118359137153845,43369704,5,2.0,13.0,12.0,2750,0,6.0,3600000.0,1,,15.0,1.0
2751,0.0,1,11.597792661325641,24503572,1,,14.0,10.0,2751,0,3.0,3600000.0,1,0.0,16.0,0.0
2752,,1,13.118359137153845,47093572,1,2.0,14.4,20.0,2752,0,6.0,3600000.0,9,0.0,16.4,1.0
2753,,1,13.118359137153845,47666464,3,2.0,14.2,16.0,2753,0,6.0,3650000.0,9,0.0,16.2,1.0
2754,,1,13.118359137153845,150871186,2,,14.0,10.0,2754,0,5.0,3650000.0,9,1.0,16.4,1.0
2755,,1,9.126998521650847,149772232,5,4.0,17.0,15.0,2755,0,5.0,3800000.0,1,,24.5,1.0
2756,,1,10.787906450293638,148646744,5,4.5,19.0,15.0,2756,0,5.0,3950000.0,1,,27.0,1.0
2757,1.0,1,15.930763692259971,50164795,22,10.0,22.0,5.0,2757,1,25.0,3990000.0,1,,49.0,0.0
2758,,0,12.974863856421011,149006586,1,7.0,24.0,18.0,2758,0,14.0,4000000.0,2,,38.2,1.0
2759,,0,9.126998521650847,150444898,5,4.0,16.0,12.0,2759,0,5.0,4100000.0,1,,24.0,1.0
2760,,1,9.126998521650847,150445217,5,4.0,16.0,15.0,2760,0,5.0,4100000.0,1,,24.0,1.0
2761,,0,15.544831235645955,146147955,1,6.5,32.0,10.0,2761,0,2.0,4100000.0,2,,46.0,0.0
2762,,0,10.854626861471594,150339219,5,4.5,14.0,14.0,2762,0,5.0,4150000.0,1,,24.0,1.0
2763,1.0,0,13.473844585660192,149948858,2,9.0,18.0,10.0,2763,0,10.0,4200000.0,1,,36.0,0.0
2764,1.0,0,9.267435048474253,150961041,5,6.0,19.0,23.0,2764,0,5.0,4300000.0,1,1.0,31.0,1.0
2765,,1,10.030751573277437,150976210,1,5.7,17.0,10.0,2765,0,5.0,4300000.0,1,1.0,28.4,1.0
2766,,0,13.488062434512115,149948712,1,9.3,21.0,10.0,2766,0,12.0,4400000.0,1,1.0,40.0,0.0
2767,1.0,0,10.402490281833314,150567542,5,6.0,21.0,10.0,2767,0,5.0,4400000.0,1,1.0,32.0,1.0
2768,1.0,1,13.948495731346004,149775423,5,6.0,19.4,29.0,2768,0,9.0,4400000.0,1,1.0,33.0,1.0
2769,,0,11.233551653961982,150278439,1,6.0,21.4,14.0,2769,0,9.0,4400000.0,1,1.0,31.7,1.0
2770,1.0,0,13.53193389410331,143310483,9,7.0,20.9,10.0,2770,0,9.0,4450000.0,1,1.0,34.7,0.0
2771,1.0,1,10.195469450725366,149136079,3,5.4,20.1,,2771,0,5.0,4500000.0,1,,32.7,
2772,1.0,1,13.040648202202428,149865812,4,7.0,29.0,3.0,2772,0,9.0,7490000.0,2,1.0,45.0,1.0
2773,2.0,0,17.854571851476653,49927783,6,13.0,34.0,,2773,0,17.0,9000000.0,2,0.0,60.0,
2774,,1,7.732070541769623,150978460,2,6.8,13.4,7.0,2774,0,5.0,4600000.0,1,,26.5,1.0
2775,,0,12.427665933606768,151016778,1,,40.0,10.0,2775,0,9.0,2950000.0,9,1.0,45.0,1.0
2776,1.0,1,7.086259697243996,150692460,5,2.0,9.0,15.0,2776,0,5.0,3050000.0,1,1.0,13.0,1.0
2777,,1,12.20594594284722,148985302,3,1.0,9.0,5.0,2777,0,5.0,3300000.0,1,1.0,13.3,1.0
2778,,1,13.118359137153845,43369704,5,2.0,13.0,12.0,2778,0,6.0,3600000.0,1,,15.0,1.0
2779,0.0,1,11.597792661325641,24503572,1,,14.0,10.0,2779,0,3.0,3600000.0,1,0.0,16.0,0.0
2780,,1,13.118359137153845,47093572,1,2.0,14.4,20.0,2780,0,6.0,3600000.0,9,0.0,16.4,1.0
2781,,1,13.118359137153845,47666464,3,2.0,14.2,16.0,2781,0,6.0,3650000.0,9,0.0,16.2,1.0
2782,,1,13.118359137153845,150871186,2,,14.0,10.0,2782,0,5.0,3650000.0,9,1.0,16.4,1.0
2783,,1,9.126998521650847,149772232,5,4.0,17.0,15.0,2783,0,5.0,3800000.0,1,,24.5,1.0
2784,,1,10.787906450293638,148646744,5,4.5,19.0,15.0,2784,0,5.0,3950000.0,1,,27.0,1.0
2785,1.0,1,15.930763692259971,50164795,22,10.0,22.0,5.0,2785,1,25.0,3990000.0,1,,49.0,0.0
2786,,0,12.974863856421011,149006586,1,7.0,24.0,18.0,2786,0,14.0,4000000.0,2,,38.2,1.0
2787,,0,9.126998521650847,150444898,5,4.0,16.0,12.0,2787,0,5.0,4100000.0,1,,24.0,1.0
2788,,1,9.126998521650847,150445217,5,4.0,16.0,15.0,2788,0,5.0,4100000.0,1,,24.0,1.0
2789,,0,15.544831235645955,146147955,1,6.5,32.0,10.0,2789,0,2.0,4100000.0,2,,46.0,0.0
2790,,0,10.854626861471594,150339219,5,4.5,14.0,14.0,2790,0,5.0,4150000.0,1,,24.0,1.0
2791,1.0,0,13.473844585660192,149948858,2,9.0,18.0,10.0,2791,0,10.0,4200000.0,1,,36.0,0.0
2792,1.0,0,9.267435048474253,150961041,5,6.0,19.0,23.0,2792,0,5.0,4300000.0,1,1.0,31.0,1.0
2793,,1,10.030751573277437,150976210,1,5.7,17.0,10.0,2793,0,5.0,4300000.0,1,1.0,28.4,1.0
2794,,0,13.488062434512115,149948712,1,9.3,21.0,10.0,2794,0,12.0,4400000.0,1,1.0,40.0,0.0
2795,1.0,0,10.402490281833314,150567542,5,6.0,21.0,10.0,2795,0,5.0,4400000.0,1,1.0,32.0,1.0
2796,1.0,1,13.948495731346004,149775423,5,6.0,19.4,29.0,2796,0,9.0,4400000.0,1,1.0,33.0,1.0
2797,,0,11.233551653961982,150278439,1,6.0,21.4,14.0,2797,0,9.0,4400000.0,1,1.0,31.7,1.0
2798,1.0,0,13.53193389410331,143310483,9,7.0,20.9,10.0,2798,0,9.0,4450000.0,1,1.0,34.7,0.0
2799,1.0,1,10.195469450725366,149136079,3,5.4,20.1,,2799,0,5.0,4500000.0,1,,32.7,
2800,1.0,0,10.294628774602014,148811225,5,5.5,30.4,12.0,2800,0,5.0,5250000.0,2,1.0,45.1,0.0
2801,1.0,1,7.927015727315174,150061758,11,13.0,18.0,,2801,0,14.0,10490000.0,1,,42.4,
2802,1.0,0,13.115410915269058,151057539,5,7.0,48.0,19.0,2802,0,9.0,7500000.0,3,1.0,67.0,1.0
2803,,0,12.427665933606768,151016778,1,,40.0,10.0,2803,0,9.0,2950000.0,9,1.0,45.0,1.0
2804,1.0,1,7.086259697243996,150692460,5,2.0,9.0,15.0,2804,0,5.0,3050000.0,1,1.0,13.0,1.0
2805,,1,12.20594594284722,148985302,3,1.0,9.0,5.0,2805,0,5.0,3300000.0,1,1.0,13.3,1.0
